object	relation	subject_external_db	subject_external_id	subject_name	comment
fan-shaped neuron	is_a	neuprint_JRC	5813056768	FB1E_b^FB01e_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	297925596	(MBDLaxon2)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	785232629	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	753489892	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	327730878	FB6Z^FB06og_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	971118724	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983328	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982204	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982520	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	885943925	FB9A^FB09a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	978673646	FB6M^FB06r_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	362693077	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813032702	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
DN1p neuron	is_a	neuprint_JRC	387944118	DN1pA_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 4	is_a	neuprint_JRC	800264315	PAM04_a(B2)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	916629686	FB8I^FB07p_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	204613133	FB8E^FB08k_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813009284	FB1B^FB01b_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	948342190	FB8A^FB08b_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	204962969	(PDM05)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	203598499	FB8H^FB08a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	331999156	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	848287126	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813056234	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	333039671	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813091211	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982374	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	456121649	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813069498	FB8F_b^FB08j_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	1261989183	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	908353540	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	1420651734	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332349327	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	755234235	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	878337317	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	940079170	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980410	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980369	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 10	is_a	neuprint_JRC	1110972158	PAM10(B1)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	849707224	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813106497	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1168387674	FB1B^FB01b_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	886635309	FB9A^FB09a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	299083134	(PDM05)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	948346519	FB8H^FB08a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	204962646	FB7L^FB07c_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	885940052	FB8H^FB08a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813002500	FB1D^FB01D_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	328744210	FB5G^FB05g_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta posterior Kenyon cell	is_a	neuprint_JRC	5812982782	KCab-p	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	425104113	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	327203386	FB7A^FB07b_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	360466268	FB8F_a^FB07f_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	939738477	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981039	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	940075464	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	358631384	(PDM09)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	939738473	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	394768379	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	878333333	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	798537538	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	891642176	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	940079513	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	860607480	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332003730	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813002689	FB1D^FB01D_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	915960391	FB6H^FB06j_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	205299889	FB8F_b^FB08i_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813093544	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	798192091	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981671	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
extrinsic ring neuron ExR3	is_a	neuprint_JRC	1036637638	ExR3(ring)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	456808311	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332344760	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5812979942	FB8F_a^FB07f_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	884921013	FB7I^FB06of_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332008063	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	815926323	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	1109568528	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	328213227	FB8F_a^FB07f_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	392821837	pC1b(PDM09)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	358259842	FB8G^FB07h_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	916288689	FB8I^FB07p_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	296851261	FB8G^FB07m_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981679	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981690	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	422881784	FB1A^FB01a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	603422422	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	767502639	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021277	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332685751	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	880404940	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983006	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983302	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982388	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983213	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	389626867	(PDL14)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813058338	FB8D^FB08f_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	940083749	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	877982991	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980599	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1254947903	FB1F^FB01g_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	327720946	(PDM05)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
DN1p neuron	is_a	neuprint_JRC	386834269	DN1pB_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
DN1a neuron	is_a	neuprint_JRC	264083994	DN1a_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	295820069	FB8H^FB08a_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	296855409	FB8I^FB07p_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 10	is_a	neuprint_JRC	328253133	PAM10(B1)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813061495	FB6A^FB06a_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	550598935	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	923359312	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	327600366	(MBDLaxon1)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	915610561	FB6B^FB06b_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	784844112	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	518873469	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	797855394	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	736126563	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	611309194	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813090605	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	885262311	FB7L^FB07c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	538308362	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	519900699	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	333030976	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980378	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021251	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	362701764	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	939729237	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983023	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983272	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	910404284	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	911094343	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	970777224	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	515580115	(MBDLaxon1)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	939738424	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	394418743	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982389	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813087831	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	674056882	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	421357275	FB8G^FB07h_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	884916654	FB7L^FB07c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 10	is_a	neuprint_JRC	329435390	PAM10(B1)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
extrinsic ring neuron ExR3	is_a	neuprint_JRC	919763043	ExR3(ring)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	630381662	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	296838079	FB8I^FB07p_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	946645313	FB6C_a^FB06c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332003895	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	877313996	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	816254592	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	829231385	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	908668522	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	568635279	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	860266123	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	923018290	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 9	is_a	neuprint_JRC	299613480	PAM09(B1ped)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332344539	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983745	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1105955480	FB6A^FB06a_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813022054	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	953712141	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
mushroom body vertical lobe arborizing neuron 1	is_a	neuprint_JRC	5813019513	PPL105(a'2a2)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813027584	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	425431837	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980446	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	693785633	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	363725096	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	817993932	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	297908595	FB5G^FB05g_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	267551639	pC1c_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
DN1p neuron	is_a	neuprint_JRC	5813010153	DN1pA_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	295133452	FB9A^FB09a_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
mushroom body output neuron 19	is_a	neuprint_JRC	423774471	MBON19(a2p3p)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813083719	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	829015629	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982760	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982761	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	1359212271	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983579	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813057169	FB6C_b^FB06d_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	908690107	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	661076014	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	537945877	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332690153	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	662414157	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021016	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021312	KCab-a	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	391155165	FB7G^FB06f_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	267214250	pC1b_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332344670	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981670	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	332349228	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980931	KCab-s	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	816219622	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
alpha/beta Kenyon cell	is_a	neuprint_JRC	754879354	KCab-c	Typing based on mapping assertion in neuprint hemibrain v1.0.1
