filename	synonyms	label	driver	part_of
flylight_gen1_gal4-Alignments-GMR_10A11_AE_01-GMR_10A11_AE_01-20080430_GMR_10A11_AE_01_05-fA01v_20080502025543515-20x-VNC-2623447011218685989-REG_UNISEX_VNC_8bitc_J18VU_SG10A11_AE_01	GMR_10A11_AE_01	JRC_R10A11_GAL4_VNC_20080430	P{GMR10A11-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10A12_AE_01-GMR_10A12_AE_01-20080604_GMR_10A12_AE_01_05-fA01v_20080605135822786-20x-VNC-2626651156054540328-REG_UNISEX_VNC_8bitc_J18VU_SG10A12_AE_01	GMR_10A12_AE_01	JRC_R10A12_GAL4_VNC_20080604	P{GMR10A12-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B01_AE_01-GMR_10B01_AE_01-20090224_GMR_10B01_AE_01_01-fA01v_20090224114552687-20x-VNC-2622612729357140008-REG_UNISEX_VNC_8bitc_J18VU_SG10B01_AE_01	GMR_10B01_AE_01	JRC_R10B01_GAL4_VNC_20090224	P{GMR10B01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B02_AE_01-GMR_10B02_AE_01-20090224_GMR_10B02_AE_01_01-fA01v_20090224115110703-20x-VNC-2622950638090190885-REG_UNISEX_VNC_8bitc_J18VU_SG10B02_AE_01	GMR_10B02_AE_01	JRC_R10B02_GAL4_VNC_20090224	P{GMR10B02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B03_AE_01-GMR_10B03_AE_01-20071220_GMR_10B03_AE_01_07-fA01v_20080104230204656-20x-VNC-2623335102070915111-REG_UNISEX_VNC_8bitc_J18VU_SG10B03_AE_01	GMR_10B03_AE_01	JRC_R10B03_GAL4_VNC_20071220	P{GMR10B03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B05_AE_01-GMR_10B05_AE_01-20090223_GMR_10B05_AE_01_01-fA01v_20090224112521265-20x-VNC-2623244573152903208-REG_UNISEX_VNC_8bitc_J18VU_SG10B05_AE_01	GMR_10B05_AE_01	JRC_R10B05_GAL4_VNC_20090223	P{GMR10B05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B06_AE_01-GMR_10B06_AE_01-20090223_GMR_10B06_AE_01_02-fA01v_20090224112959328-20x-VNC-2626155631349858341-REG_UNISEX_VNC_8bitc_J18VU_SG10B06_AE_01	GMR_10B06_AE_01	JRC_R10B06_GAL4_VNC_20090223	P{GMR10B06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B07_AE_01-GMR_10B07_AE_01-20090223_GMR_10B07_AE_01_02-fA01v_20090224113323843-20x-VNC-2623251435080384552-REG_UNISEX_VNC_8bitc_J18VU_SG10B07_AE_01	GMR_10B07_AE_01	JRC_R10B07_GAL4_VNC_20090223	P{GMR10B07-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B08_AE_01-GMR_10B08_AE_01-20090223_GMR_10B08_AE_01_01-fA01v_20090224113558796-20x-VNC-2622932552482029606-REG_UNISEX_VNC_8bitc_J18VU_SG10B08_AE_01	GMR_10B08_AE_01	JRC_R10B08_GAL4_VNC_20090223	P{GMR10B08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B09_AE_01-GMR_10B09_AE_01-20080306_GMR_10B09_AE_01_03-fA01v_20080311012252406-20x-VNC-2623520604279537698-REG_UNISEX_VNC_8bitc_J18VU_SG10B09_AE_01	GMR_10B09_AE_01	JRC_R10B09_GAL4_VNC_20080306	P{GMR10B09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B10_AE_01-GMR_10B10_AE_01-20090224_GMR_10B10_AE_01_02-fA01v_20090224114036625-20x-VNC-2625106027300782119-REG_UNISEX_VNC_8bitc_J18VU_SG10B10_AE_01	GMR_10B10_AE_01	JRC_R10B10_GAL4_VNC_20090224	P{GMR10B10-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10B11_AE_01-GMR_10B11_AE_01-20090224_GMR_10B11_AE_01_02-fA01v_20090224114347156-20x-VNC-2627720521248145447-REG_UNISEX_VNC_8bitc_J18VU_SG10B11_AE_01	GMR_10B11_AE_01	JRC_R10B11_GAL4_VNC_20090224	P{GMR10B11-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C02_AE_01-GMR_10C02_AE_01-20090224_GMR_10C02_AE_01_01-fA01v_20090224114923328-20x-VNC-2625297544262975527-REG_UNISEX_VNC_8bitc_J18VU_SG10C02_AE_01	GMR_10C02_AE_01	JRC_R10C02_GAL4_VNC_20090224	P{GMR10C02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C03_AE_01-GMR_10C03_AE_01-20090224_GMR_10C03_AE_01_02-fA01v_20090225102346375-20x-VNC-2630290527156699175-REG_UNISEX_VNC_8bitc_J18VU_SG10C03_AE_01	GMR_10C03_AE_01	JRC_R10C03_GAL4_VNC_20090224	P{GMR10C03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C04_AE_01-GMR_10C04_AE_01-20090224_GMR_10C04_AE_01_02-fA01v_20090225102709671-20x-VNC-2625298344074805282-REG_UNISEX_VNC_8bitc_J18VU_SG10C04_AE_01	GMR_10C04_AE_01	JRC_R10C04_GAL4_VNC_20090224	P{GMR10C04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C05_AE_01-GMR_10C05_AE_01-20080213_GMR_10C05_AE_01_04-fA01v_20080218231504000-20x-VNC-2627420169147777058-REG_UNISEX_VNC_8bitc_J18VU_SG10C05_AE_01	GMR_10C05_AE_01	JRC_R10C05_GAL4_VNC_20080213	P{GMR10C05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C06_AE_01-GMR_10C06_AE_01-20090425_GMR_10C06_AE_01_01-fA01v_20090427095046734-20x-VNC-2624389308517187617-REG_UNISEX_VNC_8bitc_J18VU_SG10C06_AE_01	GMR_10C06_AE_01	JRC_R10C06_GAL4_VNC_20090425	P{GMR10C06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C08_AE_01-GMR_10C08_AE_01-20071220_GMR_10C08_AE_01_07-fA01v_20080104230447625-20x-VNC-2623156525547388968-REG_UNISEX_VNC_8bitc_J18VU_SG10C08_AE_01	GMR_10C08_AE_01	JRC_R10C08_GAL4_VNC_20071220	P{GMR10C08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C10_AE_01-GMR_10C10_AE_01-20080213_GMR_10C10_AE_01_04-fA01v_20080218235042187-20x-VNC-2626281383441465382-REG_UNISEX_VNC_8bitc_J18VU_SG10C10_AE_01	GMR_10C10_AE_01	JRC_R10C10_GAL4_VNC_20080213	P{GMR10C10-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C11_AE_01-GMR_10C11_AE_01-20080430_GMR_10C11_AE_01_02-fA01v_20080502030641031-20x-VNC-2626331024476340260-REG_UNISEX_VNC_8bitc_J18VU_SG10C11_AE_01	GMR_10C11_AE_01	JRC_R10C11_GAL4_VNC_20080430	P{GMR10C11-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10C12_AE_01-GMR_10C12_AE_01-20080430_GMR_10C12_AE_01_05-fA01v_20080502032001078-20x-VNC-2626286190675886117-REG_UNISEX_VNC_8bitc_J18VU_SG10C12_AE_01	GMR_10C12_AE_01	JRC_R10C12_GAL4_VNC_20080430	P{GMR10C12-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D01_AE_01-GMR_10D01_AE_01-20080311_GMR_10D01_AE_01_02-fA01v_20080312030206671-20x-VNC-2623295063903436837-REG_UNISEX_VNC_8bitc_J18VU_SG10D01_AE_01	GMR_10D01_AE_01	JRC_R10D01_GAL4_VNC_20080311	P{GMR10D01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D02_AE_01-GMR_10D02_AE_01-20080214_GMR_10D02_AE_01_05-fA01v_20080219000556671-20x-VNC-2623575975195050024-REG_UNISEX_VNC_8bitc_J18VU_SG10D02_AE_01	GMR_10D02_AE_01	JRC_R10D02_GAL4_VNC_20080214	P{GMR10D02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D04_AE_01-GMR_10D04_AE_01-20090224_GMR_10D04_AE_01_02-fA01v_20090225103056609-20x-VNC-2624983039968542756-REG_UNISEX_VNC_8bitc_J18VU_SG10D04_AE_01	GMR_10D04_AE_01	JRC_R10D04_GAL4_VNC_20090224	P{GMR10D04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D05_AE_01-GMR_10D05_AE_01-20080219_GMR_10D05_AE_01_04-fA01v_20080228023659921-20x-VNC-2625760450893053989-REG_UNISEX_VNC_8bitc_J18VU_SG10D05_AE_01	GMR_10D05_AE_01	JRC_R10D05_GAL4_VNC_20080219	P{GMR10D05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D06_AE_01-GMR_10D06_AE_01-20080219_GMR_10D06_AE_01_05-fA01v_20080228022440796-20x-VNC-2625798498154446884-REG_UNISEX_VNC_8bitc_J18VU_SG10D06_AE_01	GMR_10D06_AE_01	JRC_R10D06_GAL4_VNC_20080219	P{GMR10D06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D07_AE_01-GMR_10D07_AE_01-20071220_GMR_10D07_AE_01_07-fA01v_20080104230858515-20x-VNC-2626567227951808551-REG_UNISEX_VNC_8bitc_J18VU_SG10D07_AE_01	GMR_10D07_AE_01	JRC_R10D07_GAL4_VNC_20071220	P{GMR10D07-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D08_AE_01-GMR_10D08_AE_01-20080219_GMR_10D08_AE_01_02-fA01v_20080228024619281-20x-VNC-2626680444485107750-REG_UNISEX_VNC_8bitc_J18VU_SG10D08_AE_01	GMR_10D08_AE_01	JRC_R10D08_GAL4_VNC_20080219	P{GMR10D08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D09_AE_01-GMR_10D09_AE_01-20090224_GMR_10D09_AE_01_01-fA01v_20090225103308765-20x-VNC-2627137897198780456-REG_UNISEX_VNC_8bitc_J18VU_SG10D09_AE_01	GMR_10D09_AE_01	JRC_R10D09_GAL4_VNC_20090224	P{GMR10D09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10D10_AE_01-GMR_10D10_AE_01-20071219_GMR_10D10_AE_01_02-fA01v_20080104224257718-20x-VNC-2622637637348884518-REG_UNISEX_VNC_8bitc_J18VU_SG10D10_AE_01	GMR_10D10_AE_01	JRC_R10D10_GAL4_VNC_20071219	P{GMR10D10-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E01_AE_01-GMR_10E01_AE_01-20080314_GMR_10E01_AE_01_05-fA01v_20080315005536937-20x-VNC-2625825825018085474-REG_UNISEX_VNC_8bitc_J18VU_SG10E01_AE_01	GMR_10E01_AE_01	JRC_R10E01_GAL4_VNC_20080314	P{GMR10E01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E02_AE_01-GMR_10E02_AE_01-20080220_GMR_10E02_AE_01_06-fA01v_20080228030358750-20x-VNC-2625540920019255333-REG_UNISEX_VNC_8bitc_J18VU_SG10E02_AE_01	GMR_10E02_AE_01	JRC_R10E02_GAL4_VNC_20080220	P{GMR10E02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E03_AE_01-GMR_10E03_AE_01-20091013_GMR_10E03_AE_01_01-fA01v_20091014113157312-20x-VNC-2626651636579172390-REG_UNISEX_VNC_8bitc_J18VU_SG10E03_AE_01	GMR_10E03_AE_01	JRC_R10E03_GAL4_VNC_20091013	P{GMR10E03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E04_AE_01-GMR_10E04_AE_01-20080319_GMR_10E04_AE_01_05-fA01v_20080322002752265-20x-VNC-2627631701102166056-REG_UNISEX_VNC_8bitc_J18VU_SG10E04_AE_01	GMR_10E04_AE_01	JRC_R10E04_GAL4_VNC_20080319	P{GMR10E04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E05_AE_01-GMR_10E05_AE_01-20090911_GMR_10E05_AE_01_01-fA01v_20090913111620515-20x-VNC-2622866718845829160-REG_UNISEX_VNC_8bitc_J18VU_SG10E05_AE_01	GMR_10E05_AE_01	JRC_R10E05_GAL4_VNC_20090911	P{GMR10E05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E06_AE_01-GMR_10E06_AE_01-20080319_GMR_10E06_AE_01_08-fA01v_20080322004530796-20x-VNC-2623402634433789988-REG_UNISEX_VNC_8bitc_J18VU_SG10E06_AE_01	GMR_10E06_AE_01	JRC_R10E06_GAL4_VNC_20080319	P{GMR10E06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E07_AE_01-GMR_10E07_AE_01-20080319_GMR_10E07_AE_01_04-fA01v_20080322005425468-20x-VNC-2622535244682625064-REG_UNISEX_VNC_8bitc_J18VU_SG10E07_AE_01	GMR_10E07_AE_01	JRC_R10E07_GAL4_VNC_20080319	P{GMR10E07-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E08_AE_01-GMR_10E08_AE_01-20080430_GMR_10E08_AE_01_06-fA01v_20080502033230328-20x-VNC-2626355909697208354-REG_UNISEX_VNC_8bitc_J18VU_SG10E08_AE_01	GMR_10E08_AE_01	JRC_R10E08_GAL4_VNC_20080430	P{GMR10E08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E09_AE_01-GMR_10E09_AE_01-20080501_GMR_10E09_AE_01_05-fA01v_20080502034515703-20x-VNC-2626122613985902629-REG_UNISEX_VNC_8bitc_J18VU_SG10E09_AE_01	GMR_10E09_AE_01	JRC_R10E09_GAL4_VNC_20080501	P{GMR10E09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10E12_AE_01-GMR_10E12_AE_01-20100928_GMR_10E12_AE_01_02-fA01v_20100929104520390-20x-VNC-2624730319739158561-REG_UNISEX_VNC_8bitc_J18VU_SG10E12_AE_01	GMR_10E12_AE_01	JRC_R10E12_GAL4_VNC_20100928	P{GMR10E12-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F01_AE_01-GMR_10F01_AE_01-20080319_GMR_10F01_AE_01_04-fA01v_20080322010443453-20x-VNC-2622614072859820071-REG_UNISEX_VNC_8bitc_J18VU_SG10F01_AE_01	GMR_10F01_AE_01	JRC_R10F01_GAL4_VNC_20080319	P{GMR10F01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F02_AE_01-GMR_10F02_AE_01-20090225_GMR_10F02_AE_01_01-fA01v_20090226161838968-20x-VNC-2623383659725455397-REG_UNISEX_VNC_8bitc_J18VU_SG10F02_AE_01	GMR_10F02_AE_01	JRC_R10F02_GAL4_VNC_20090225	P{GMR10F02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F03_AE_01-GMR_10F03_AE_01-20090225_GMR_10F03_AE_01_02-fA01v_20090226162328859-20x-VNC-2623563694675591202-REG_UNISEX_VNC_8bitc_J18VU_SG10F03_AE_01	GMR_10F03_AE_01	JRC_R10F03_GAL4_VNC_20090225	P{GMR10F03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F04_AE_01-GMR_10F04_AE_01-20090225_GMR_10F04_AE_01_01-fA01v_20090226162546593-20x-VNC-2623095329918025765-REG_UNISEX_VNC_8bitc_J18VU_SG10F04_AE_01	GMR_10F04_AE_01	JRC_R10F04_GAL4_VNC_20090225	P{GMR10F04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F05_AE_01-GMR_10F05_AE_01-20080320_GMR_10F05_AE_01_02-fA01v_20080322011244625-20x-VNC-2625200213832237096-REG_UNISEX_VNC_8bitc_J18VU_SG10F05_AE_01	GMR_10F05_AE_01	JRC_R10F05_GAL4_VNC_20080320	P{GMR10F05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F06_AE_01-GMR_10F06_AE_01-20080320_GMR_10F06_AE_01_04-fA01v_20080322012834390-20x-VNC-2626884867182297128-REG_UNISEX_VNC_8bitc_J18VU_SG10F06_AE_01	GMR_10F06_AE_01	JRC_R10F06_GAL4_VNC_20080320	P{GMR10F06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F07_AE_01-GMR_10F07_AE_01-20071219_GMR_10F07_AE_01_04-fA01v_20080104224701687-20x-VNC-2623472039645675560-REG_UNISEX_VNC_8bitc_J18VU_SG10F07_AE_01	GMR_10F07_AE_01	JRC_R10F07_GAL4_VNC_20071219	P{GMR10F07-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F08_AE_01-GMR_10F08_AE_01-20100417_GMR_10F08_AE_01_04-fA01v_20100419214028078-20x-VNC-2624959099569176610-REG_UNISEX_VNC_8bitc_J18VU_SG10F08_AE_01	GMR_10F08_AE_01	JRC_R10F08_GAL4_VNC_20100417	P{GMR10F08-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F09_AE_01-GMR_10F09_AE_01-20090226_GMR_10F09_AE_01_02-fA01v_20090226163444218-20x-VNC-2622790511395602471-REG_UNISEX_VNC_8bitc_J18VU_SG10F09_AE_01	GMR_10F09_AE_01	JRC_R10F09_GAL4_VNC_20090226	P{GMR10F09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F10_AE_01-GMR_10F10_AE_01-20090528_GMR_10F10_AE_01_01-fA01v_20090529130819937-20x-VNC-2623010295366287399-REG_UNISEX_VNC_8bitc_J18VU_SG10F10_AE_01	GMR_10F10_AE_01	JRC_R10F10_GAL4_VNC_20090528	P{GMR10F10-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10F12_AE_01-GMR_10F12_AE_01-20090226_GMR_10F12_AE_01_01-fA01v_20090226164038250-20x-VNC-2626785882845216807-REG_UNISEX_VNC_8bitc_J18VU_SG10F12_AE_01	GMR_10F12_AE_01	JRC_R10F12_GAL4_VNC_20090226	P{GMR10F12-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G01_AE_01-GMR_10G01_AE_01-20080320_GMR_10G01_AE_01_02-fA01v_20080322013716937-20x-VNC-2627144344800329767-REG_UNISEX_VNC_8bitc_J18VU_SG10G01_AE_01	GMR_10G01_AE_01	JRC_R10G01_GAL4_VNC_20080320	P{GMR10G01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G02_AE_01-GMR_10G02_AE_01-20080403_GMR_10G02_AE_01_06-fA01v_20080404225407218-20x-VNC-2622457969987551270-REG_UNISEX_VNC_8bitc_J18VU_SG10G02_AE_01	GMR_10G02_AE_01	JRC_R10G02_GAL4_VNC_20080403	P{GMR10G02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G04_AE_01-GMR_10G04_AE_01-20090226_GMR_10G04_AE_01_03-fA01v_20090226164634390-20x-VNC-2625549241568722983-REG_UNISEX_VNC_8bitc_J18VU_SG10G04_AE_01	GMR_10G04_AE_01	JRC_R10G04_GAL4_VNC_20090226	P{GMR10G04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G06_AE_01-GMR_10G06_AE_01-20100407_GMR_10G06_AE_01_11-fA01v_20100408134113562-20x-VNC-2623488279143514146-REG_UNISEX_VNC_8bitc_J18VU_SG10G06_AE_01	GMR_10G06_AE_01	JRC_R10G06_GAL4_VNC_20100407	P{GMR10G06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G09_AE_01-GMR_10G09_AE_01-20080320_GMR_10G09_AE_01_04-fA01v_20080322015326468-20x-VNC-2619740367037136929-REG_UNISEX_VNC_8bitc_J18VU_SG10G09_AE_01	GMR_10G09_AE_01	JRC_R10G09_GAL4_VNC_20080320	P{GMR10G09-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G10_AE_01-GMR_10G10_AE_01-20090406_GMR_10G10_AE_01_06-fA01v_20090406140953186-20x-VNC-2622508718150909991-REG_UNISEX_VNC_8bitc_J18VU_SG10G10_AE_01	GMR_10G10_AE_01	JRC_R10G10_GAL4_VNC_20090406	P{GMR10G10-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G11_AE_01-GMR_10G11_AE_01-20090911_GMR_10G11_AE_01_04-fA01v_20090914093157887-20x-VNC-2625790759843922018-REG_UNISEX_VNC_8bitc_J18VU_SG10G11_AE_01	GMR_10G11_AE_01	JRC_R10G11_GAL4_VNC_20090911	P{GMR10G11-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10G12_AE_01-GMR_10G12_AE_01-20090224_GMR_10G12_AE_01_01-fA01v_20090225102047265-20x-VNC-2623414931432669220-REG_UNISEX_VNC_8bitc_J18VU_SG10G12_AE_01	GMR_10G12_AE_01	JRC_R10G12_GAL4_VNC_20090224	P{GMR10G12-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H01_AE_01-GMR_10H01_AE_01-20080325_GMR_10H01_AE_01_06-fA01v_20080329014446546-20x-VNC-2626960658670813220-REG_UNISEX_VNC_8bitc_J18VU_SG10H01_AE_01	GMR_10H01_AE_01	JRC_R10H01_GAL4_VNC_20080325	P{GMR10H01-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H02_AE_01-GMR_10H02_AE_01-20080531_GMR_10H02_AE_01_07-fA01v_20080602235311828-20x-VNC-2626476573812850728-REG_UNISEX_VNC_8bitc_J18VU_SG10H02_AE_01	GMR_10H02_AE_01	JRC_R10H02_GAL4_VNC_20080531	P{GMR10H02-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H03_AE_01-GMR_10H03_AE_01-20080426_GMR_10H03_AE_01_09-fA01v_20080428223425390-20x-VNC-2625214858865410086-REG_UNISEX_VNC_8bitc_J18VU_SG10H03_AE_01	GMR_10H03_AE_01	JRC_R10H03_GAL4_VNC_20080426	P{GMR10H03-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H04_AE_01-GMR_10H04_AE_01-20101220_GMR_10H04_AE_01_10-fA01v_20101221101402093-20x-VNC-2623289883887665192-REG_UNISEX_VNC_8bitc_J18VU_SG10H04_AE_01	GMR_10H04_AE_01	JRC_R10H04_GAL4_VNC_20101220	P{GMR10H04-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H05_AE_01-GMR_10H05_AE_01-20090224_GMR_10H05_AE_01_02-fA01v_20090225102556187-20x-VNC-2626205221910478884-REG_UNISEX_VNC_8bitc_J18VU_SG10H05_AE_01	GMR_10H05_AE_01	JRC_R10H05_GAL4_VNC_20090224	P{GMR10H05-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H06_AE_01-GMR_10H06_AE_01-20080501_GMR_10H06_AE_01_02-fA01v_20080502035441875-20x-VNC-2623204944756342818-REG_UNISEX_VNC_8bitc_J18VU_SG10H06_AE_01	GMR_10H06_AE_01	JRC_R10H06_GAL4_VNC_20080501	P{GMR10H06-GAL4}	adult ventral nervous system
flylight_gen1_gal4-Alignments-GMR_10H07_AE_01-GMR_10H07_AE_01-20080401_GMR_10H07_AE_01_05-fA01v_20080402234927406-20x-VNC-2622463545958203428-REG_UNISEX_VNC_8bitc_J18VU_SG10H07_AE_01	GMR_10H07_AE_01	JRC_R10H07_GAL4_VNC_20080401	P{GMR10H07-GAL4}	adult ventral nervous system
