filename	label	part_of	Template	dbxrefs	comment	synonyms	is_a
40x-Brain-2587080921047892066	JRC_R15A09-GAL4_MCFO_Brain_20180907_61_H5_40x	female organism|adult brain|P{GMR15A09-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R15A09|jrc_slide_code_api:20180907_61_H5|neuronbridge:R15A09	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_61_H5', age: 'Adult'"	R15A09-GAL4|JRC_R15A09-GAL4-GAL4|GMR_15A09-GAL4	expression pattern fragment
40x-Brain-2587080921429573730	JRC_R15A09-GAL4_MCFO_Brain_20180907_61_H6_40x	female organism|adult brain|P{GMR15A09-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R15A09|jrc_slide_code_api:20180907_61_H6|neuronbridge:R15A09	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_61_H6', age: 'Adult'"	R15A09-GAL4|JRC_R15A09-GAL4-GAL4|GMR_15A09-GAL4	expression pattern fragment
40x-Brain-2589895702893035618	JRC_R20C11-GAL4_MCFO_Brain_20180914_64_D1_40x	female organism|adult brain|P{GMR20C11-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R20C11|jrc_slide_code_api:20180914_64_D1|neuronbridge:R20C11	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180914_64_D1', age: 'Adult'"	R20C11-GAL4|JRC_R20C11-GAL4-GAL4|GMR_20C11-GAL4	expression pattern fragment
40x-Brain-2589895703299883106	JRC_R20C11-GAL4_MCFO_Brain_20180914_64_D2_40x	female organism|adult brain|P{GMR20C11-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R20C11|jrc_slide_code_api:20180914_64_D2|neuronbridge:R20C11	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180914_64_D2', age: 'Adult'"	R20C11-GAL4|JRC_R20C11-GAL4-GAL4|GMR_20C11-GAL4	expression pattern fragment
40x-Brain-2589895703627038818	JRC_R20C11-GAL4_MCFO_Brain_20180914_64_D3_40x	female organism|adult brain|P{GMR20C11-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R20C11|jrc_slide_code_api:20180914_64_D3|neuronbridge:R20C11	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180914_64_D3', age: 'Adult'"	R20C11-GAL4|JRC_R20C11-GAL4-GAL4|GMR_20C11-GAL4	expression pattern fragment
40x-Brain-2589895703941611618	JRC_R20C11-GAL4_MCFO_Brain_20180914_64_D4_40x	female organism|adult brain|P{GMR20C11-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R20C11|jrc_slide_code_api:20180914_64_D4|neuronbridge:R20C11	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180914_64_D4', age: 'Adult'"	R20C11-GAL4|JRC_R20C11-GAL4-GAL4|GMR_20C11-GAL4	expression pattern fragment
40x-Brain-2589895704260378722	JRC_R20C11-GAL4_MCFO_Brain_20180914_64_D5_40x	female organism|adult brain|P{GMR20C11-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R20C11|jrc_slide_code_api:20180914_64_D5|neuronbridge:R20C11	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180914_64_D5', age: 'Adult'"	R20C11-GAL4|JRC_R20C11-GAL4-GAL4|GMR_20C11-GAL4	expression pattern fragment
40x-Brain-2603061420803227746	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E1_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E1|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E1', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2603061421331710050	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E2_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E2|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E2', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2603061421860192354	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E3_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E3|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E3', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2603061422388674658	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E4_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E4|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E4', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2603061422912962658	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E5_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E5|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E5', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2603061423407890530	JRC_R53H02-GAL4_MCFO_Brain_20181019_64_E6_40x	female organism|adult brain|P{GMR53H02-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R53H02|jrc_slide_code_api:20181019_64_E6|neuronbridge:R53H02	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181019_64_E6', age: 'Adult'"	R53H02-GAL4|JRC_R53H02-GAL4-GAL4|GMR_53H02-GAL4	expression pattern fragment
40x-Brain-2604876458300014690	JRC_R59F08-GAL4_MCFO_Brain_20181023_61_G1_40x	female organism|adult brain|P{GMR59F08-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R59F08|jrc_slide_code_api:20181023_61_G1|neuronbridge:R59F08	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181023_61_G1', age: 'Adult'"	R59F08-GAL4|JRC_R59F08-GAL4-GAL4|GMR_59F08-GAL4	expression pattern fragment
40x-Brain-2604876458845274210	JRC_R59F08-GAL4_MCFO_Brain_20181023_61_G2_40x	female organism|adult brain|P{GMR59F08-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R59F08|jrc_slide_code_api:20181023_61_G2|neuronbridge:R59F08	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181023_61_G2', age: 'Adult'"	R59F08-GAL4|JRC_R59F08-GAL4-GAL4|GMR_59F08-GAL4	expression pattern fragment
40x-Brain-2604876459386339426	JRC_R59F08-GAL4_MCFO_Brain_20181023_61_G3_40x	female organism|adult brain|P{GMR59F08-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R59F08|jrc_slide_code_api:20181023_61_G3|neuronbridge:R59F08	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181023_61_G3', age: 'Adult'"	R59F08-GAL4|JRC_R59F08-GAL4-GAL4|GMR_59F08-GAL4	expression pattern fragment
40x-Brain-2604876459919016034	JRC_R59F08-GAL4_MCFO_Brain_20181023_61_G4_40x	female organism|adult brain|P{GMR59F08-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R59F08|jrc_slide_code_api:20181023_61_G4|neuronbridge:R59F08	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'Plan-Apochromat 40x/1.3 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181023_61_G4', age: 'Adult'"	R59F08-GAL4|JRC_R59F08-GAL4-GAL4|GMR_59F08-GAL4	expression pattern fragment
40x-Brain-2629818896655319138	JRC_R22D03-GAL4_MCFO_Brain_20190115_64_C6_40x	female organism|adult brain|P{GMR22D03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R22D03|jrc_slide_code_api:20190115_64_C6|neuronbridge:R22D03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'EC Plan-Neofluar 40x/1.30 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190115_64_C6', age: 'Adult'"	R22D03-GAL4|JRC_R22D03-GAL4-GAL4|GMR_22D03-GAL4	expression pattern fragment
40x-Brain-2629818164283703394	JRC_R22D03-GAL4_MCFO_Brain_20190115_64_C1_40x	female organism|adult brain|P{GMR22D03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R22D03|jrc_slide_code_api:20190115_64_C1|neuronbridge:R22D03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'EC Plan-Neofluar 40x/1.30 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190115_64_C1', age: 'Adult'"	R22D03-GAL4|JRC_R22D03-GAL4-GAL4|GMR_22D03-GAL4	expression pattern fragment
40x-Brain-2629818164879294562	JRC_R22D03-GAL4_MCFO_Brain_20190115_64_C2_40x	female organism|adult brain|P{GMR22D03-GAL4} expression pattern	JRC2018Unisex_c	FlyLightGen1MCFO:R22D03|jrc_slide_code_api:20190115_64_C2|neuronbridge:R22D03	"tile(s): 'central (central brain only, the optic lobes are not included in this image)', effector genotype: 'R57C10-Flp2::PEST in attp18; brp::Snap / CyO; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1 / TM6B', objective: 'EC Plan-Neofluar 40x/1.30 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190115_64_C2', age: 'Adult'"	R22D03-GAL4|JRC_R22D03-GAL4-GAL4|GMR_22D03-GAL4	expression pattern fragment
